key,en,mn,ko,mn_new,ko_new,notes
contact.map_title,E and S Discovery Mongolia office location,E and S Discovery Mongolia оффисын байршил,E and S Discovery Mongolia 사무실 위치,,,
contactForm.name_placeholder,Name,Нэр,이름,,,
contactForm.email_placeholder,Email,И-мэйл,이메일,,,
contactForm.phone_placeholder,Phone (optional),Утас (заавал биш),전화번호 (선택),,,
contactForm.subjects[0],Tour inquiry,Аяллын лавлагаа,투어 문의,,,
contactForm.subjects[1],Car rental,Машин түрээс,렌터카,,,
contactForm.subjects[2],Airport transfer,Онгоцны буудлын үйлчилгээ,공항 픽업,,,
contactForm.subjects[3],General question,Ерөнхий асуулт,일반 문의,,,
contactForm.message_placeholder,"Tell us about your trip — dates, group size, what you'd love to see…","Аяллынхаа тухай — огноо, бүлгийн хэмжээ, юу үзэхийг хүсэж байгаагаа бичнэ үү…","날짜, 인원, 원하시는 경험 등 여행에 대해 알려주세요…",,,
contactForm.send_message,Send message →,Илгээх →,메시지 보내기 →,,,
contactForm.success_heading,Message sent,Мессеж илгээгдлээ,메시지가 전송되었습니다,,,
contactForm.reference_label,Reference:,Лавлах дугаар:,참조번호:,,,
contactForm.success_message,A member of our Ulaanbaatar team will reply within a day.,Манай Улаанбаатар дахь баг нэг өдрийн дотор хариулна.,울란바토르 팀의 담당자가 하루 안에 답변드립니다.,,,
reviewForm.cta,Write a Review,Сэтгэгдэл бичих,리뷰 작성하기,,,
reviewForm.heading,Share your experience,Аяллынхаа сэтгэгдлийг хуваалцаарай,여행 경험을 공유해 주세요,,,
reviewForm.name_placeholder,Your name,Таны нэр,이름,,,
reviewForm.star_label,Your rating,Үнэлгээ,평점,,,
reviewForm.tour_placeholder,Which tour did you take? (optional),Аль аялалд явсан бэ? (заавал биш),어떤 투어를 이용하셨나요? (선택),,,
reviewForm.review_placeholder,Tell fellow travelers about your trip…,Аяллынхаа тухай бусад аялагчдад хуваалцана уу…,다른 여행자들에게 여행 경험을 들려주세요…,,,
reviewForm.submit,Submit review,Сэтгэгдэл илгээх,리뷰 제출,,,
reviewForm.success_heading,Thank you!,Баярлалаа!,감사합니다!,,,
reviewForm.success_message,Your review has been posted.,Таны сэтгэгдэл нийтлэгдлээ.,리뷰가 등록되었습니다.,,,
tourGallery.open_preview,Open photo preview,Зургийг томоор харах,사진 미리보기 열기,,,
tourGallery.previous_photo,Previous photo,Өмнөх зураг,이전 사진,,,
tourGallery.next_photo,Next photo,Дараах зураг,다음 사진,,,
tourGallery.view_photo,View photo,Зураг харах,사진 보기,,,
tourGallery.close_preview,Close preview,Хаах,미리보기 닫기,,,
sectionNav.on_this_page,On this page,Энэ хуудсанд,이 페이지에서,,,
